src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.102,192.168.10.1,38194,53,17,2026-05-31 03:02:10,0.0,0,0,0,0,2,0,216,0,108,108,108.0,0.0,0,0,0,0.0,108,108,108.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.0,0,0,2,0,216,0
192.168.10.50,142.250.74.163,40636,443,17,2026-05-31 03:02:10,5.922568,2231.9709963650903,3.5457592044532036,1.688456764025335,1.8573024404278684,10,11,7081,6138,1294,73,708.1,589.3819559504685,2546,67,558.0,764.2617352713663,2546,67,629.4761904761905,690.6443243569297,476989.5827664399,200,220,20,10,0.29612840000000007,5.744055,0.0,1.2499072109993767,5.876486000000001,5.744055,0.0,0.652942888888889,1.8000503946250719,5.89943,5.801968,0.000483,0.589943,1.7373904905559945,0,0,0,0,0,0,0,0,0,0,0,1.1,629.4761904761905,0,0,0,0,0,0,0,0,0,0,0,0,4755.0,4.0,0,318166.6109066577450652392104,708.1,558.0,0,10,11,7081,6138
192.168.10.50,192.168.50.100,33429,53,17,2026-05-31 03:02:11,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,36011,53,17,2026-05-31 03:02:11,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,45118,53,17,2026-05-31 03:02:11,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,48152,53,17,2026-05-31 03:02:11,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,34628,53,17,2026-05-31 03:02:11,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,46190,53,17,2026-05-31 03:02:11,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.102,192.168.10.1,33718,53,17,2026-05-31 03:02:14,0.082055,5703.491560538663,36.5608433367863,24.373895557857534,12.186947778928767,2,1,200,268,100,100,100.0,0.0,268,268,268.0,0.0,268,100,156.0,79.19595949289332,6272.0,40,20,20,2,0.0410275,0.082055,0.0,0.0410275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,268.0,0,2,1,200,268
192.168.10.102,192.168.10.1,34600,53,17,2026-05-31 03:02:15,0.001053,291547.9582146249,2849.0028490028494,1899.3352326685663,949.6676163342831,2,1,186,121,93,93,93.0,0.0,121,121,121.0,0.0,121,93,102.33333333333333,13.199326582148888,174.22222222222226,40,20,20,2,0.0005265,0.001053,0.0,0.0005265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,102.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,121.0,0,2,1,186,121
192.168.10.102,199.232.81.91,55232,443,6,2026-05-31 03:02:15,0.119153,44060.997205273896,176.24398882109557,83.92570896242647,92.31827985866911,10,11,1126,4124,286,66,112.6,68.34208074093151,1454,66,374.90909090909093,518.3788461146669,1454,66,250.0,400.1786505811528,160142.95238095237,200,220,20,4,0.005957650000000001,0.027717,0.0,0.009607032019697861,0.097045,0.028121,0.0,0.010782777777777778,0.0116275050517467,0.091436,0.022871,0.000212,0.009143599999999998,0.010480235781698807,4,4,0,0,0,3,0,8,19,0,0,1.1,250.0,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.6,374.90909090909093,0,10,11,1126,4124
192.168.10.50,192.168.50.100,58937,53,17,2026-05-31 03:02:16,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,36795,53,17,2026-05-31 03:02:16,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
192.168.10.50,192.168.50.100,38754,53,17,2026-05-31 03:02:16,0.0,0,0,0,0,2,0,266,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,2,0,266,0
